Texas Counties,County FIPS_x,Dollars,County FIPS_y,Uninsured Percent,County FIPS_x,White Poverty %,County FIPS_y,Black Poverty %,County FIPS_x,Asian Poverty %,County FIPS_y,Foreign Poverty %,County FIPS_x,Native Poverty %,County FIPS_y,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %
117,"Hardeman, Texas",48197.0,56400,48197.0,2.5,48197.0,81.7,48197.0,1.3,48197.0,2.5,48197.0,7.6,48197.0,0.8,48197.0,24.9,48197.0,75.1
118,"Colorado, Texas",48089.0,55945,48089.0,4.5,48089.0,68.3,48089.0,12.5,48089.0,0.7,48089.0,9.8,48089.0,0.2,48089.0,31.0,48089.0,69.0
119,"Freestone, Texas",48161.0,55910,48161.0,2.7,48161.0,75.5,48161.0,14.9,48161.0,0.4,48161.0,6.8,48161.0,0.2,48161.0,16.4,48161.0,83.6
120,"Fisher, Texas",48151.0,55862,48151.0,3.8,48151.0,83.4,48151.0,2.1,48151.0,0.2,48151.0,2.4,48151.0,0.5,48151.0,29.1,48151.0,70.9
121,"Callahan, Texas",48059.0,55820,48059.0,4.5,48059.0,92.0,48059.0,1.0,48059.0,0.4,48059.0,1.1,48059.0,0.1,48059.0,10.3,48059.0,89.7
122,"Rains, Texas",48379.0,55758,48379.0,3.9,48379.0,92.1,48379.0,2.8,48379.0,1.1,48379.0,3.7,48379.0,0.9,48379.0,9.5,48379.0,90.5
123,"Comanche, Texas",48093.0,55743,48093.0,7.5,48093.0,80.2,48093.0,0.5,48093.0,0.4,48093.0,8.5,48093.0,0.8,48093.0,28.8,48093.0,71.2
124,"Robertson, Texas",48395.0,55709,48395.0,9.4,48395.0,70.5,48395.0,20.5,48395.0,0.4,48395.0,4.5,48395.0,0.1,48395.0,21.8,48395.0,78.2
125,"Gonzales, Texas",48177.0,55698,48177.0,0.8,48177.0,65.2,48177.0,6.8,48177.0,0.9,48177.0,11.8,48177.0,0.1,48177.0,51.8,48177.0,48.2
126,"Kimble, Texas",48267.0,55677,48267.0,2.1,48267.0,82.6,48267.0,1.0,48267.0,no data/suppressed,48267.0,4.7,48267.0,0.5,48267.0,25.4,48267.0,74.6
127,"Sherman, Texas",48421.0,55667,48421.0,1.8,48421.0,79.1,48421.0,0.1,48421.0,2.3,48421.0,22.4,48421.0,no data/suppressed,48421.0,45.2,48421.0,54.8
128,"Pecos, Texas",48371.0,55652,48371.0,1.3,48371.0,73.5,48371.0,3.9,48371.0,1.1,48371.0,13.7,48371.0,1.1,48371.0,69.4,48371.0,30.6
129,"Jones, Texas",48253.0,55575,48253.0,5.8,48253.0,69.7,48253.0,12.3,48253.0,0.3,48253.0,4.2,48253.0,0.4,48253.0,28.1,48253.0,71.9
130,"Moore, Texas",48341.0,55543,48341.0,2.0,48341.0,69.8,48341.0,3.9,48341.0,4.5,48341.0,26.0,48341.0,0.7,48341.0,57.7,48341.0,42.3
131,"Sterling, Texas",48431.0,55481,48431.0,no data/suppressed,48431.0,76.9,48431.0,0.1,48431.0,0.9,48431.0,6.6,48431.0,0.2,48431.0,36.4,48431.0,63.6
132,"Upshur, Texas",48459.0,55046,48459.0,4.8,48459.0,84.8,48459.0,8.1,48459.0,0.4,48459.0,3.6,48459.0,0.4,48459.0,9.0,48459.0,91.0
133,"Bowie, Texas",48037.0,54949,48037.0,4.1,48037.0,67.7,48037.0,25.2,48037.0,1.3,48037.0,4.4,48037.0,0.6,48037.0,8.0,48037.0,92.0
134,"Shackelford, Texas",48417.0,54896,48417.0,7.2,48417.0,93.2,48417.0,0.2,48417.0,0.2,48417.0,2.8,48417.0,0.6,48417.0,12.0,48417.0,88.0
135,"Hemphill, Texas",48211.0,54867,48211.0,6.2,48211.0,77.8,48211.0,1.6,48211.0,no data/suppressed,48211.0,16.2,48211.0,0.2,48211.0,35.5,48211.0,64.5
136,"Panola, Texas",48365.0,54853,48365.0,2.8,48365.0,78.0,48365.0,13.1,48365.0,0.8,48365.0,3.8,48365.0,0.1,48365.0,9.1,48365.0,90.9
137,"Webb, Texas",48479.0,54618,48479.0,5.8,48479.0,68.3,48479.0,0.4,48479.0,0.5,48479.0,25.2,48479.0,0.2,48479.0,95.5,48479.0,4.5
138,"Cherokee, Texas",48073.0,54222,48073.0,6.6,48073.0,72.4,48073.0,13.8,48073.0,0.5,48073.0,10.1,48073.0,1.6,48073.0,23.9,48073.0,76.1
