,County,FIPS,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,County FIPS,Non Hispanic Poverty %,Area,New Case Rate,Case Count,Population,Death Rate,Death Count
153,Polk ,48373.0,52826,9.5,79.9,9.0,0.9,5.1,1.4,15.5,48373.0,84.5,Texas,633.6,2123,250774,236.3,742
154,Milam ,48331.0,52810,6.3,80.7,9.8,0.9,4.7,0.2,27.1,48331.0,72.9,Texas,458.6,816,123984,160.2,301
155,Crockett ,48105.0,52731,1.6,47.3,1.6,no data/suppressed,10.8,no data/suppressed,60.5,48105.0,39.5,Texas,409.6,92,17609,186.3,41
156,Brazos ,48041.0,52658,4.4,72.9,11.1,6.0,12.4,0.3,26.4,48041.0,73.6,Texas,384.3,3333,1131850,125.8,1046
157,Angelina ,48005.0,52377,6.3,73.8,13.8,1.0,8.3,0.9,22.7,48005.0,77.3,Texas,454.1,2408,435595,159.6,852
158,Goliad ,48175.0,52335,3.8,83.2,4.9,0.2,5.5,0.3,36.2,48175.0,63.8,Texas,390.7,229,37891,161.3,93
159,Wheeler ,48483.0,52138,3.8,86.0,1.8,0.3,9.1,0.1,25.6,48483.0,74.4,Texas,453,162,25935,180.8,68
160,Runnels ,48399.0,52103,2.0,84.2,2.7,0.1,4.5,0.6,35.1,48399.0,64.9,Texas,440,321,51398,163.4,131
161,Young ,48503.0,52074,3.3,91.6,1.3,0.2,7.7,0.6,19.4,48503.0,80.6,Texas,459.6,572,89805,192,254
162,Henderson ,48213.0,51963,6.3,85.4,5.9,0.7,4.8,0.3,13.6,48213.0,86.4,Texas,487.3,3017,409844,173.1,1114
163,Val Verde ,48465.0,51949,4.4,78.6,1.2,0.7,22.2,0.3,82.6,48465.0,17.4,Texas,410.9,1026,245089,146.9,385
164,Uvalde ,48463.0,51602,5.0,84.4,1.1,1.1,11.6,0.6,72.3,48463.0,27.7,Texas,433.4,663,134496,175.2,290
165,Lamar ,48277.0,51561,3.3,78.6,13.4,0.8,3.6,0.9,8.4,48277.0,91.6,Texas,472.1,1594,248523,181.3,628
166,Aransas ,48007.0,51509,8.2,86.8,0.2,1.4,4.1,1.2,28.6,48007.0,71.4,Texas,476.4,1025,121098,183.1,410
167,Camp ,48063.0,50947,8.2,69.9,15.6,0.7,9.3,0.2,26.2,48063.0,73.8,Texas,506.8,425,64692,168.5,145
168,El Paso ,48141.0,50919,6.8,59.6,3.2,1.3,23.6,0.6,82.9,48141.0,17.1,Texas,399.7,16384,4184576,131.6,5351
