,County,Alaska Boroughs_x,Income,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %,Area,Age-Adjusted New Case Rate,Case Count,Population,Age-Adjusted Death Rate,Death Count,Vermont Counties FIPS,Wyoming Counties FIPS,Uninsured,Unnamed: 0.1,FIPS,County FIPS
20,Lee ,,63235.0,4.6,78.0,8.1,1.7,17.1,0.1,22.6,77.4,Florida,423.9,27692.0,3782849.0,122.8,8898.0,,,,20.0,12071.0,12071.0
21,Flagler ,,62305.0,3.7,79.1,9.8,2.5,12.0,0.2,10.9,89.1,Florida,496.0,5237.0,564271.0,148.5,1683.0,,,,21.0,12035.0,12035.0
22,Indian River ,,61594.0,6.0,81.8,8.2,1.5,10.0,0.2,12.9,87.1,Florida,503.5,7792.0,784821.0,152.0,2670.0,,,,22.0,12061.0,12061.0
23,Bay ,,60473.0,4.6,79.1,10.4,2.3,7.3,0.5,6.9,93.1,Florida,483.9,5713.0,900378.0,154.7,1872.0,,,,23.0,12005.0,12005.0
24,Pinellas ,,60451.0,5.0,78.5,10.3,3.6,12.2,0.2,10.2,89.8,Florida,476.9,38118.0,4854925.0,143.4,12593.0,,,,24.0,12103.0,12103.0
25,Lake ,,60013.0,6.1,77.2,10.5,2.2,10.3,0.3,16.8,83.2,Florida,508.0,15298.0,1780576.0,152.4,4992.0,,,,25.0,12069.0,12069.0
26,St. Lucie ,,59807.0,5.7,66.5,20.4,2.1,16.7,0.3,20.0,80.0,Florida,434.4,11005.0,1604571.0,146.7,4001.0,,,,26.0,12111.0,12111.0
27,Duval ,,59541.0,5.1,56.1,29.4,4.8,11.7,0.2,10.6,89.4,Florida,508.1,27090.0,4743255.0,169.1,8868.0,,,,27.0,12031.0,12031.0
28,Osceola ,,58513.0,6.0,57.7,10.9,2.8,22.8,0.3,55.5,44.5,Florida,450.2,8655.0,1818332.0,151.6,2809.0,,,,28.0,12097.0,12097.0
29,Pasco ,,58084.0,5.4,81.3,5.9,2.8,10.7,0.3,16.7,83.3,Florida,499.9,20178.0,2699425.0,161.6,7003.0,,,,29.0,12101.0,12101.0
30,Charlotte ,,57887.0,5.4,87.0,5.4,1.4,9.9,0.2,7.8,92.2,Florida,450.8,9379.0,929628.0,135.3,3209.0,,,,30.0,12015.0,12015.0
31,Miami-Dade ,,57815.0,5.1,56.5,16.3,1.6,54.0,0.2,68.5,31.5,Florida,415.1,69510.0,13527642.0,126.3,21926.0,,,,31.0,12086.0,12086.0
32,Leon ,,57359.0,6.2,59.1,31.0,3.6,6.8,0.2,6.7,93.3,Florida,430.7,6400.0,1459316.0,142.0,2080.0,,,,32.0,12073.0,12073.0
33,Volusia ,,56786.0,4.2,76.8,10.9,1.8,8.0,0.2,15.1,84.9,Florida,499.4,22079.0,2730534.0,163.2,7814.0,,,,33.0,12127.0,12127.0
34,Escambia ,,56605.0,6.3,66.1,21.8,3.3,5.4,0.3,6.0,94.0,Florida,499.3,9820.0,1583457.0,179.3,3608.0,,,,34.0,12033.0,12033.0
35,Lafayette ,,56458.0,5.9,77.2,16.6,1.0,8.9,0.3,14.5,85.5,Florida,452.0,232.0,42878.0,193.8,100.0,,,,35.0,12067.0,12067.0
36,Union ,,55463.0,3.4,71.9,18.3,0.2,2.1,0.7,5.9,94.1,Florida,1237.4,1186.0,76408.0,414.5,383.0,,,,36.0,12125.0,12125.0
37,Polk ,,55099.0,4.9,68.5,15.0,1.8,10.4,0.3,24.9,75.1,Florida,473.1,22953.0,3528675.0,146.0,7425.0,,,,37.0,12105.0,12105.0
38,Gulf ,,53812.0,4.1,80.4,14.7,0.5,3.9,0.4,3.8,96.2,Florida,439.9,527.0,75366.0,162.0,199.0,,,,38.0,12045.0,12045.0
39,Alachua ,,53314.0,4.8,65.7,19.9,6.0,10.7,0.3,10.5,89.5,Florida,455.2,6415.0,1340525.0,158.1,2260.0,,,,39.0,12001.0,12001.0
40,Hernando ,,53301.0,6.3,83.4,5.2,1.3,7.2,0.3,14.9,85.1,Florida,539.6,8831.0,953500.0,168.4,3055.0,,,,40.0,12053.0,12053.0
41,Jefferson ,,53080.0,6.2,63.0,33.0,0.4,3.0,0.2,4.4,95.6,Florida,393.6,452.0,71392.0,161.4,189.0,,,,41.0,12065.0,12065.0
42,Franklin ,,52679.0,9.5,79.3,12.8,0.3,3.8,0.1,5.9,94.1,Florida,430.6,409.0,59572.0,172.6,170.0,,,,42.0,12037.0,12037.0
43,Gilchrist ,,50983.0,3.9,89.1,4.9,0.3,4.9,0.2,6.3,93.7,Florida,475.6,593.0,91226.0,173.0,236.0,,,,43.0,12041.0,12041.0
44,Marion ,,50808.0,6.9,77.6,12.6,1.6,7.8,0.3,14.3,85.7,Florida,520.8,16364.0,1801051.0,163.6,5593.0,,,,44.0,12083.0,12083.0
45,Bradford ,,48803.0,5.0,75.7,19.3,0.8,2.6,0.3,4.6,95.4,Florida,467.7,849.0,138614.0,177.3,336.0,,,,45.0,12007.0,12007.0
46,Citrus ,,48664.0,7.7,90.9,2.5,1.7,5.8,0.2,6.2,93.8,Florida,524.9,8059.0,739690.0,172.2,2908.0,,,,46.0,12017.0,12017.0
47,Columbia ,,47750.0,8.2,73.7,17.7,1.0,3.9,0.1,6.6,93.4,Florida,490.1,2349.0,354490.0,194.9,963.0,,,,47.0,12023.0,12023.0
48,Suwannee ,,47218.0,5.3,79.2,11.7,0.4,4.9,no data/suppressed,10.0,90.0,Florida,460.1,1515.0,221451.0,186.7,645.0,,,,48.0,12121.0,12121.0
49,Okeechobee ,,47020.0,5.0,79.0,8.6,1.0,12.4,0.4,26.4,73.6,Florida,445.2,1290.0,208054.0,183.3,552.0,,,,49.0,12093.0,12093.0
50,Highlands ,,46895.0,7.4,77.8,9.0,1.6,11.2,0.5,21.1,78.9,Florida,471.9,4843.0,522868.0,143.7,1690.0,,,,50.0,12055.0,12055.0
51,Dixie ,,44287.0,4.9,85.6,7.6,0.3,2.1,0.1,4.3,95.7,Florida,483.0,647.0,83700.0,184.9,259.0,,,,51.0,12029.0,12029.0
52,Taylor ,,43563.0,6.2,72.9,22.5,0.5,4.3,0.1,4.3,95.7,Florida,450.5,679.0,108544.0,174.9,278.0,,,,52.0,12123.0,12123.0
53,Jackson ,,43416.0,5.1,67.4,26.9,0.4,2.4,0.4,5.1,94.9,Florida,327.2,1075.0,237044.0,191.2,667.0,,,,53.0,12063.0,12063.0
54,Levy ,,43029.0,5.2,85.1,8.4,0.9,4.4,0.2,8.9,91.1,Florida,501.1,1657.0,204897.0,196.1,675.0,,,,54.0,12075.0,12075.0
55,Gadsden ,,42661.0,4.0,37.2,55.3,0.3,5.1,1.0,10.7,89.3,Florida,454.7,1401.0,228933.0,158.3,495.0,,,,55.0,12039.0,12039.0
56,Liberty ,,42438.0,7.7,78.1,14.9,0.1,2.8,1.7,6.7,93.3,Florida,451.6,222.0,41667.0,179.7,86.0,,,,56.0,12077.0,12077.0
57,Holmes ,,41809.0,4.8,87.4,7.1,1.0,2.1,1.0,3.1,96.9,Florida,267.2,365.0,97651.0,175.9,254.0,,,,57.0,12059.0,12059.0
58,Washington ,,41806.0,5.6,78.8,14.9,0.8,3.9,1.2,3.9,96.1,Florida,373.2,623.0,125470.0,200.9,339.0,,,,58.0,12133.0,12133.0
59,Hardee ,,41395.0,6.6,73.6,5.8,1.2,10.6,0.2,44.3,55.7,Florida,453.0,716.0,135134.0,138.9,227.0,,,,59.0,12049.0,12049.0
60,Putnam ,,39975.0,9.0,76.4,16.0,0.6,4.4,0.4,10.3,89.7,Florida,487.2,2793.0,368920.0,192.4,1159.0,,,,60.0,12107.0,12107.0
61,DeSoto ,,39945.0,9.4,78.5,12.5,0.1,13.3,0.2,31.9,68.1,Florida,414.4,1120.0,186856.0,155.7,454.0,,,,61.0,12027.0,12027.0
62,Madison ,,39503.0,3.9,56.7,36.8,0.7,4.6,0.1,6.2,93.8,Florida,361.1,489.0,92783.0,169.3,237.0,,,,62.0,12079.0,12079.0
63,Hamilton ,,39346.0,11.3,59.7,34.3,0.6,4.3,0.8,10.2,89.8,Florida,405.9,382.0,71986.0,202.9,191.0,,,,63.0,12047.0,12047.0
64,Hendry ,,38843.0,6.1,67.7,10.8,1.0,26.4,1.9,55.1,44.9,Florida,385.9,860.0,207359.0,137.7,305.0,,,,64.0,12051.0,12051.0
65,Calhoun ,,38098.0,3.4,77.7,12.1,0.5,3.4,1.2,6.0,94.0,Florida,434.4,429.0,71620.0,185.0,190.0,,,,65.0,12013.0,12013.0
66,Glades ,,38088.0,9.1,74.4,14.0,0.6,9.9,4.0,21.7,78.3,Florida,355.8,426.0,68886.0,124.3,159.0,,,,66.0,12043.0,12043.0
67,undefined,,,,,,,,,,,,,,,,,,,,67.0,,
0,Santa Clara ,,140258.0,4.5,39.0,2.5,38.5,39.9,0.6,25.1,74.9,California,378.6,39840.0,9621896.0,113.5,11942.0,,,,0.0,6085.0,6085.0
1,San Mateo ,,136837.0,4.6,45.9,2.4,31.1,35.1,0.7,24.1,75.9,California,397.6,18703.0,3828114.0,114.0,5548.0,,,,1.0,6081.0,6081.0
2,Marin ,,131008.0,5.2,75.3,2.3,6.2,18.5,0.4,16.4,83.6,California,442.0,8768.0,1297205.0,111.7,2400.0,,,,2.0,6041.0,6041.0
3,San Francisco ,,126187.0,5.3,43.4,5.2,34.7,34.1,0.5,15.4,84.6,California,380.0,19842.0,4373922.0,121.6,6639.0,,,,3.0,6075.0,6075.0
4,Alameda ,,112017.0,5.0,35.9,10.2,32.4,32.9,0.7,22.4,77.6,California,371.5,34446.0,8307920.0,125.0,11391.0,,,,4.0,6001.0,6001.0
5,Contra Costa ,,110455.0,5.8,50.0,8.6,18.3,25.0,0.7,26.2,73.8,California,405.9,28222.0,5738938.0,130.5,9158.0,,,,5.0,6013.0,6013.0
6,Orange ,,100485.0,5.4,53.6,1.7,21.6,29.4,0.6,34.0,66.0,California,404.2,74259.0,15851723.0,127.1,23536.0,,,,6.0,6059.0,6059.0
7,Placer ,,99734.0,4.3,77.8,1.6,8.7,11.7,0.5,14.6,85.4,California,439.2,11853.0,1958997.0,130.2,3723.0,,,,7.0,6061.0,6061.0
8,Napa ,,97498.0,4.9,67.0,2.1,8.0,21.5,0.8,34.7,65.3,California,410.4,3880.0,692859.0,141.4,1412.0,,,,8.0,6055.0,6055.0
9,Santa Cruz ,,96093.0,6.4,68.5,1.1,5.1,17.8,0.7,34.0,66.0,California,444.7,7402.0,1365849.0,124.8,2051.0,,,,9.0,6087.0,6087.0
10,Alpine ,,96000.0,9.2,59.2,0.6,1.3,4.8,28.8,14.7,85.3,California,271.7,22.0,5482.0,235.3,19.0,,,,10.0,6003.0,6003.0
