,Texas Counties,FIPS,Dollars,Uninsured %,White Poverty %,Black Poverty %,Asian Poverty %,Foreign Poverty %,Native Poverty %,Hispanic Poverty %,Non Hispanic Poverty %
223,"San Augustine, Texas",48405,43130,11.4,71.7,22.4,0.1,4.5,0.5,7.6,92.4
224,"Cameron, Texas",48061,43057,6,73.7,0.6,0.7,22.8,0.2,90,10
225,"Dawson, Texas",48115,42778,8.2,63.5,8.4,0.2,4.6,0.8,58.6,41.4
226,"Kenedy, Texas",48261,42778,no data/suppressed,84.6,no data/suppressed,0.6,25.4,0.6,98.2,1.8
227,"Coke, Texas",48081,42639,2.8,87.8,1,no data/suppressed,4.8,0.2,22.6,77.4
228,"Collingsworth, Texas",48087,42446,4.6,69.7,9.3,0.8,9.3,1.8,31.5,68.5
229,"Dickens, Texas",48125,42241,8.9,83.7,2.1,0.8,8.3,0.3,33.8,66.2
230,"King, Texas",48269,42125,4.9,88.6,no data/suppressed,no data/suppressed,14.8,no data/suppressed,34.9,65.1
231,"Hall, Texas",48191,41467,9.7,71.3,5.7,0.2,11.6,0.6,34.5,65.5
232,"Sabine, Texas",48403,41308,10.2,88.2,5.5,1.5,1.6,0.5,4.8,95.2
233,"Red River, Texas",48387,40674,4.3,78.4,14.7,0.6,3.1,1.8,7.6,92.4
234,"Menard, Texas",48327,40341,8.6,78.7,0.1,no data/suppressed,5.1,1.7,35.5,64.5
235,"Edwards, Texas",48137,40000,no data/suppressed,98.8,0.1,no data/suppressed,9.1,0.1,45.3,54.7
236,"Irion, Texas",48235,39770,6.9,69.9,5.5,no data/suppressed,3.6,no data/suppressed,26.4,73.6
237,"Swisher, Texas",48437,39685,6.2,79.9,8.1,0.8,13.1,1.3,45.2,54.8
238,"Willacy, Texas",48489,39401,7.9,79.5,0.6,no data/suppressed,13.2,0.6,88.2,11.8
239,"Jeff Davis, Texas",48243,38659,no data/suppressed,90.9,1.8,no data/suppressed,12.7,no data/suppressed,23.9,76.1
240,"Briscoe, Texas",48045,38469,1.8,85,2.4,0.9,7.3,no data/suppressed,36.4,63.6
241,"Cochran, Texas",48079,38203,8.4,65.5,6.1,0.1,16.3,0.3,59.7,40.3
242,"Newton, Texas",48351,38116,10.4,74.2,20.5,0.7,0.8,0.5,4.1,95.9
243,"Foard, Texas",48155,37679,10.1,74.8,0.1,0.8,3.6,0.7,21.6,78.4
244,"Jim Hogg, Texas",48247,37342,4.3,82.9,0.3,no data/suppressed,2.6,no data/suppressed,93.3,6.7
245,"Falls, Texas",48145,35317,8.1,65.4,22.6,1.7,4.9,0.4,24.3,75.7
246,"Zapata, Texas",48505,34406,8.3,68.4,no data/suppressed,1.4,21.1,no data/suppressed,94.8,5.2
247,"Culberson, Texas",48109,34239,12.5,71.9,0.1,0.9,14.2,4.1,82.9,17.1
248,"Starr, Texas",48427,33334,12.1,70.7,0.1,no data/suppressed,26.6,0.1,96.3,3.7
249,"Hudspeth, Texas",48229,32404,7.5,46.7,1.4,0.8,42.6,1,77.7,22.3
250,"Brooks, Texas",48047,26827,1.7,68.5,1.8,0.1,10.6,no data/suppressed,91.6,8.4
251,"Presidio, Texas",48377,26395,7.8,69.6,no data/suppressed,1.4,43,1.9,80,20
252,"Dimmit, Texas",48127,25000,5.9,60.4,0.2,1.6,10.2,0.2,87.8,12.2
253,"Loving, Texas",48301,no data/suppressed,no data/suppressed,98.8,no data/suppressed,1.2,1.2,no data/suppressed,no data/suppressed,100
254,undefined,,,,,,,,,,
